,items,type,veg/non-veg,Calcium,Calories,Carbohydrates,Carotene Vitamin A,Chlorine,Choline,Chromium,Copper,Fat,Fibre,Folic Acid Free,Iron,Magnesium,Manganese,Molybdenum,Niacin B3,Phosphorus,Potassium,Protein,Pyridoxin B6,Riboflavin B2,Sodium,Sulphur,ThiamineB1,Vitamin C,Water,Zink,Vitamin A RAE,Quantity
85,Moongphalli (Groundnut) (Roasted),b,,77,570,26.7,0,0,0,0,0,49.8,3.1,0,3.1,0,0,0,22,370,0,26.2,0,0.13,0,0,0.39,0,1.7,0,0,Amount per 100 g. of edible portion
86,"Moongphalli (Groundnut, Peanut)",,,90,567,26.1,37,0,224,0.05,0.9,40.1,3.1,16,2.5,184,1.1,0.17,20,350,332,25.3,0.35,0.13,18,0,0.9,0,3,3.9,3,Amount per 100 g. of edible portion
87,Mosambi (Sweet Lime),f,,40,43,9.3,0,0,0,0,0.17,0.3,0.5,0,0.7,0,0,0,0,30,490,0.8,0,0,0,0,0,50,88.4,0,0,Amount per 100 g. of edible portion
88,Mutter (Peas)(Tender),,,20,93,15.9,83,20,20,0,0.23,0.1,4,0,1.5,34,0,0,0.8,139,79,7.2,0,0.01,7.8,95,0.25,9,72.9,0,7,Amount per 100 g. of edible portion
89,Narial (Coconut) (Fresh),f,,10,444,13,0,0,0,0,0,41.6,3.6,11,1.7,0,0,0,0.8,240,0,4.5,0,0.1,0,0,0.05,1,36.3,0,0,Amount per 100 g. of edible portion
90,Narial (Coconut) (Tender),,,10,41,6.3,0,0,0,0,0,1.4,0,0,0.9,0,0,0,0,30,0,0.9,0,0,0,0,0,0,90.8,0,0,Amount per 100 g. of edible portion
91,Neembu (Lemon),j,,70,57,11.1,0,0,0,0.01,0.06,0.9,1.7,0,0.26,19,0.07,0,0.1,10,270,1,0,0.01,0,0,0.02,39,85,0.07,0,Amount per 100 g. of edible portion
92,Neera,,,0,45,11,0,0,0,0,0,0,0,0,0.1,0,0,0,0,140,0,0.4,0,0,0,0,0,0,90,0,0,Amount per 100 g. of edible portion
93,Paapdi (Double Beans),,,40,85,12.3,0,0,0,0,0,0.3,4.3,0,2.3,0,0,0,0,140,0,8.3,0,0,0,0,0,22,73.8,0,0,Amount per 100 g. of edible portion
94,Palak Sabji (Spinach),s,,73,26,2.9,5580,54,0,0.01,0.1,0.7,0.6,51,1.1,64,0.56,0.01,0.5,21,206,2,0,0.26,58.5,30,0.03,28,92.1,0.3,465,Amount per 100 g. of edible portion
95,Papita (Papaya),f,,17,32,7.2,666,11,0,0,0.2,0.1,0.8,0,0.5,11,0,0,0.2,13,69,0.6,0,0.25,6,13,0.04,57,90.8,0,56,Amount per 100 g. of edible portion
96,Pear (Nashpati),f,,8,52,11.9,28,1,0,0,0.4,0.2,1,0,0.5,7,0,0,0.2,15,96,0.6,0,0.03,6.1,14,0.06,0,86,0,2,Amount per 100 g. of edible portion
