,items,type,veg/non-veg,Calcium,Calories,Carbohydrates,Carotene Vitamin A,Chlorine,Choline,Chromium,Copper,Fat,Fibre,Folic Acid Free,Iron,Magnesium,Manganese,Molybdenum,Niacin B3,Phosphorus,Potassium,Protein,Pyridoxin B6,Riboflavin B2,Sodium,Sulphur,ThiamineB1,Vitamin C,Water,Zink,Vitamin A RAE,Quantity
32,Cheeni (Sugar ),,,12,398,99.4,0,0,0,0,0,0,0,0,0.15,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0.4,0,0,Amount per 100 g. of edible portion
33,Cheese,,,790,348,6.3,82,0,0,0,0,25.1,0,0,2.1,0,0,0,0,520,0,24.1,0,0,0,0,0,0,40.3,0,7,Amount per 100 g. of edible portion
34,Chikoo (Sapota),f,,28,98,21.4,97,26,0,0.01,0.08,1.1,2.6,0,1.25,25,0.68,0,0.2,27,269,0.7,0,0.03,5.9,17,0.02,6,73.7,0.16,8,Amount per 100 g. of edible portion
35,Chukandar (Beet Root),f,,18.3,43,8.8,0,24,242,0.01,0.3,0.1,0.9,0,1.2,9,0.2,0,0.4,55,43,1.7,0,0.09,60,14,0.04,10,87.8,0.9,0,Amount per 100 g. of edible portion
36,Dahi (Curd) (Cow),,,150,60,3,31,0,0,0,0,4,0,3.3,0.2,0,0,0,0.1,93,130,3.1,0,0.16,32,0,0.05,1,89.1,0,3,Amount per 100 g. of edible portion
37,Dhania Patta (Coriander Leaves),,,184,44,6.3,6918,43,0,0.01,0.14,0.6,1.2,0,1.4,31,0.5,1.12,0.8,71,256,3.3,0,0.06,58.3,50,0.05,135,86.3,0.32,577,Amount per 100 g. of edible portion
38,Doodh (Milk) (Buffalo),j,,210,117,5,48,0,0,0,0,6.5,0,3.5,0.2,0,0,0,0.1,130,90,4.3,0,0.1,19,0,0.04,1,81,0,4,Amount per 100 g. of edible portion
39,Doodh (Milk) (Cow),j,,120,67,4.4,53,0,0,0,0,4.1,0,5.6,0.2,0,0,0,0.1,90,140,3.2,0,0.19,73,0,0.05,2,87.5,0,4,Amount per 100 g. of edible portion
40,Doodh (Milk) Powder (Skimmed),,,1370,357,51,0,0,0,0,0,0.1,0,0,1.4,0,0,0,1,1000,0,38,0,1.64,0,0,0.5,5,4.1,0,0,Amount per 100 g. of edible portion
41,Doodh Maa ka (Milk Human),,,28,65,7.4,41,0,0,0,0,3.4,0,1.3,0,0,0,0,0,11,0,1.1,0,0.02,0,0,0.02,3,88,0,3,Amount per 100 g. of edible portion
42,"Dudhi, Louki (Bottle Gourd)",,,20,12,2.5,0,5,0,0.05,0.03,0.1,0.6,0,0.46,26,0.06,0,0.2,10,87,0.2,0,0.01,1.8,10,0.03,0,96.1,0.22,0,Amount per 100 g. of edible portion
43,Gajar (Carrot),f,,80,48,10.6,7890,13,168,0.02,0.1,0.2,1.2,5,1.03,17,0.16,0,0.6,530,108,0.9,0,0.02,35.6,27,0.04,0,0,0,0,Amount per 100 g. of edible portion
44,Ganna (Cane) (Juice),j,,10,39,9.1,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,10,0,0.1,0,0,0,0,0,0,90.2,0,0,Amount per 100 g. of edible portion
45,Gawar (Cluster Beans),s,,130,16,10.8,198,0,0,0,0.08,0.4,3.2,50,1.1,47,0.1,0,0,57,0,3.2,0,0.03,0,0,0.09,49,81,0.36,17,Amount per 100 g. of edible portion
46,Genhoo (Wheat),,,41,346,71.2,64,47,0,0.01,0.68,1.5,1.2,14,5.3,138,2.3,0.05,5.5,306,284,11.8,0.57,0.17,17,128,0.45,0,12.8,2.7,5,Amount per 100 g. of edible portion
47,Ghee,,,0,900,0,600,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Amount per 100 g. of edible portion
48,Gobhi (Cabbage),s,,39,27,4.6,120,0,120,0.01,0.02,0.1,1,13,0.8,31,0.18,0.08,0.4,44,0,1.8,0,0.09,0,0,0.06,124,91.9,0.3,10,Amount per 100 g. of edible portion
49,Gur (Jaggery),,,80,383,95,0,0,0,0,0,0.1,0,0,2.64,0,0,0,0,40,0,0.4,0,0,0,0,0,0,3.9,0,0,Amount per 100 g. of edible portion
50,Halim (Garden Cress Seeds),,,377,454,33,27,41,0,0,0,24.5,7.6,0,100,430,0,0,14,723,0,25.3,0,0.61,0,1,0.59,0,3.2,0,2,Amount per 100 g. of edible portion
51,Halwa Fish (Pomfret Black Fish),,,286,111,1.5,0,0,0,0,0,2.6,0,0,2.3,0,0,0,0,306,0,20.3,0,0,0,0,0,0,74.5,0,0,Amount per 100 g. of edible portion
52,Jamun(Jambu Fruit),f,,286,111,1.5,0,0,0,0,0,2.6,0,0,2.3,0,0,0,0,306,0,20.3,0,0,0,0,0,0,74.5,0,0,Amount per 100 g. of edible portion
53,Jowar,,,25,349,72.6,47,44,0,0.01,0.46,1.9,1.6,14,4.1,171,0.78,0.04,3.1,222,131,10.4,0.2,0.13,7.3,54,0.37,0,11.9,1.6,4,Amount per 100 g. of edible portion
54,Kaaju (Cashew),f,,25,349,72.6,47,44,0,0.01,0.46,1.9,1.6,14,4.1,171,0.78,0.04,3.1,222,131,10.4,0.2,0.13,7.3,54,0.37,0,11.9,1.6,4,Amount per 100 g. of edible portion
55,Kaddu (Pumpkin),,,50,596,22.3,60,0,0,0.16,1.66,46.9,1.3,0,5.8,349,1.42,0,1.2,450,0,21.2,0,0.19,0,0,0.63,0,5.9,5.99,5,Amount per 100 g. of edible portion
56,Kakdi (Cucumber),f,,10,25,4.6,50,4,136,0.01,0.05,0.1,0.7,3,0.44,38,0.05,0,0.5,30,1.39,1.4,0,0.04,5.6,16,0.06,2,92.6,0.26,4,Amount per 100 g. of edible portion
57,Kala Til (Niger Seeds),,,10,13,2.5,0,15,0,0,0.09,0.1,0.4,12,0.6,14,0.14,0.07,0.2,25,50,0.4,0,0,10.2,17,0.03,7,96.3,0.23,0,Amount per 100 g. of edible portion
