,meal,Calcium,Calories,Carbohydrates,Fat,Iron,Niacin Vitamin B3,Protein,Riboflavin Vitamin B2,Thiamine Vitamin B1,Vitamin A RAE,Quantity,type,veg/non-veg
170,Paneer Pakora,121,425,18.6,32.1,1.6,0.7,15.5,0.06,0.18,19,Amount per 5 Pcs.,b,
171,Paneer Paratha,173,713,58.5,43.9,4,3.5,20.9,0.15,0.45,20,Amount per 3 MEDIUM,n,
172,Paneer Pea (Mutter) Samosas,110,255,20.5,16.5,0.9,0.9,6.2,0.02,0.08,10,Amount per 2 Pcs.,b,
173,Paneer Pulao,272,520,70.9,20.4,2.9,3.3,13.3,0.13,0.21,0,Amount per 1 full plate,n,
174,Paneet Cutlets,148,329,12.3,24.7,0.3,0.2,14.5,0.02,0.07,21,Amount per 2 Pcs.,b,
175,Paushtik Cutlets,45,359,46.2,15.2,2.1,3.9,9.4,0.11,0.28,97,Amount per 2 Pcs.,b,
176,Pea (Mutter) Cholia Vadi Curry,68,309,31,15.3,2.8,1.54,11.7,0.03,0.5,16,Amount per 1 Bowl,s,
177,Pea (Mutter) Curry,78,311,39.2,10.3,3.5,2,15.3,0.04,0.6,20,Amount per 1 Bowl,s,
178,Pea (Mutter) Kachories,17,215,30.2,7.4,1.6,1.1,6.9,0.03,0.16,4,Amount per 2,b,
179,Pea (Mutter) Paneer Curry,162,351,23.6,20.8,2,1.1,17.3,0.04,0.36,13,Amount per 1 Bowl,s,
180,Pea (Mutter) Paratha,78,693,81.6,31.5,6.3,4.7,20.7,0.15,0.78,12,Amount per 3 MEDIUM,n,
181,Pea (Mutter) Poories,40,431,66.9,12.1,3.9,3.2,13.6,0.1,0.39,8,Amount per 4 OR 5,n,
182,Pea (Mutter) Pulao,108,510,94.8,9.1,4.6,4.8,12.1,0.17,0.44,86,Amount per 1 full plate,n,
183,Pea Potato (Aalu Mutter) Curry,62.8,267,34.6,10.3,2.2,1.7,8.9,0.03,0.37,14,Amount per 1 Bowl,s,
184,Peanut Brittle,44,229,33.7,8.1,1.3,4.1,5.2,0.06,0.2,1,Amount per 2 Pcs.,d,
185,Peas and Cabbage Subji,50,122,13.2,5.2,1.7,0.8,5.5,0.1,0.19,14,Amount per 1 Bowl,s,
186,Phirni,241,258,38.8,8.3,0.5,0.4,7.1,0.39,0.11,1,Amount per 1 Bowl,d,
187,Pineapple Raita,159,84,8.4,4.1,1.4,0.2,3.3,0.22,0.15,3,Amount per 1 Bowl,si,
188,Pineapply Pastry,23.1,279,32.9,13.2,1,0.5,7.1,0.16,0.06,33,Amount per 1 Pastry,d,
189,Plain Barfi,478,276,29.8,13,0,0.2,10,0.21,0.12,21,Amount per 2 Pcs.,d,
190,Plain Dosa,28,261,47.8,4.6,1.6,2.2,7.1,0.08,0.17,14,Amount per 2,b,
191,Plain Paratha,38,363,55.5,11.4,3.9,3.4,9.7,0.14,0.39,2,Amount per 3 MEDIUM,n,
192,Plain Urad Dal Vada,46,171,17.8,7.9,1.1,0.6,7.2,0.06,0.13,1,Amount per 2 Pcs.,b,
193,Plak Kofta Curry,232,346,19.2,26.2,2.6,1.2,8.3,0.36,0.16,588,Amount per 1 Bowl,s,
194,Poached Egg,25,87,0,6.7,0.7,0.1,6.7,0.2,0.05,25,Amount per 1 Egg,b,eg
195,Poha (Rice Flakes),10,158,20.2,7.3,4.2,2,2.8,0.02,0.1,1,Amount per 1 Bowl,b,
196,Poories,28,375,57.4,12.1,3,2.7,9.2,0.1,0.24,4,Amount per 3 MEDIUM,n,
197,Poshtik Roti,82,388,75.5,2.8,5.6,4.5,15.2,0.28,0.53,191,Amount per 3,n,
198,Potato (Aalu) Curry,47.7,221,29.9,10.2,1,1.5,2.5,0.03,0.17,8,Amount per 1 Bowl,s,
199,Potato (Aalu) Kofta Curry,51,290,35.1,15.3,1.3,1.8,2.9,0.03,0.19,8,Amount per 1 Bowl,s,
200,Potato (Aalu) Raita,154,110,14.3,4.1,0.5,0.7,3.9,0.17,0.1,4,Amount per 1 Bowl,si,
201,Potato (Aalu) Stuffed Paratha,56,632,75.8,31.5,4.4,4.5,11.2,0.15,0.49,4,Amount per 3 MEDIUM,n,
202,Prawn Curry,509,342,10.54,19.9,9.3,7.5,30.1,0.18,0.05,0,Amount per 1 Bowl,s,nv
203,Puffy Omelette,25,160,0,14.8,0.7,0.1,6.7,0.2,0.05,52,Amount per 1 Egg,b,eg
204,Radish Paratha,90,574,61.8,31.5,4.5,4.1,10.8,0.16,0.48,2,Amount per 3 MEDIUM,n,
205,Rajma Curry,162,268,31.8,11,2.6,1.2,10.5,0.12,0.29,16,Amount per 1 Bowl,s,
206,Rice Kheer,241,257,38.3,8.3,0.7,0.6,7.2,0.4,0.12,1,Amount per 1 Bowl,d,
207,Roast Chicken,18,297,0,21.8,2,10,25.3,0.2,0.13,28,Amount per 1 Bowl,m,nv
208,Roganjosh,276,404,7.2,30.6,4,8,25,0.27,0.31,10,Amount per 1 Bowl,s,nv
209,Rost Potatoes,15,191,34,5,0.8,1.8,2.4,0.01,0.15,19,Amount per 1-2 Potatoes,m,
210,Russian Salad,100,959,27.5,85.6,3.8,5.4,19.7,0.33,0.38,73,Amount per 1 Small Bowl,f,
