,meal,Calcium,Calories,Carbohydrates,Fat,Iron,Niacin Vitamin B3,Protein,Riboflavin Vitamin B2,Thiamine Vitamin B1,Vitamin A RAE,Quantity,type,veg/non-veg
68,Cream of Spinach Soup,200,307,16,23.2,2.2,0.9,8.5,0.52,0.2,518,Amount per 1 Bowl,j,
69,Cream of Tomato Soup,180,245,18.5,16.6,1.5,1,5.4,0.25,0.32,82,Amount per 1 Bowl,j,
70,Creamed Spinach,458,429,18.8,29.8,3.5,1.4,21.4,1,0.25,984,Amount per 1 Small Bowl,m,
71,Creamed Spinach and Mushrooms,366,363,19.2,25.8,2.9,3.5,13.4,0.9,0.23,724,Amount per 1 Bowl,m,
72,Crispy Baked Fish,461,390,31.2,15.1,4.1,1.3,32.3,0.13,0.13,41,Amount per 1 Bowl,m,nv
73,Cucumber and Yogurt Salad,53,29,2.9,1.3,0.5,0.2,1.3,0.05,0.04,1,Amount per 1Small Plate,si,
74,Cucumber Raita,155,68,4.5,4.1,0.6,0.2,3.3,0.16,0.07,3,Amount per 1 Bowl,si,
75,Curd Rice,253,484,77.8,12.5,3.8,3.7,15.1,0.41,0.33,6,Amount per 1 full plate,b,
76,Dahi Aloo,119,260,33.4,12.2,1,1.8,4.2,0.12,0.22,14,Amount per 1 Bowl,b,
77,Dal Moong,23,104,17.9,0.4,1.2,0.7,7.3,0.06,0.14,1,Amount per 1 Curry Bowl,s,
78,Dal Paratha,65,665,75.6,33.1,5.6,4.2,16.2,0.19,0.55,5,Amount per 3 MEDIUM,n,
79,Dal Stuffed Poories,5,427,66.3,12.3,3.6,3,12.8,0.13,0.31,4,Amount per 4 OR 5,n,
80,Danish Luncheon Sandwiches,42,350,31.9,17.5,2.1,1.2,16.2,0.22,0.24,52,Amount per 2 Pcs.,b,
81,Devilled Eggs,62,61,2.4,2.1,1.3,0.3,8.1,0.27,0.14,50,Amount per 1 Egg,b,eg
82,Dry Arbi (Fried),62,254,25.6,15.2,0.9,0.6,3.6,0.04,0.14,7,Amount per 1 Bowl,s,
83,Dry Khatta Channa,83,232,25.6,11.7,1.9,1.3,5.99,0.07,0.16,31,Amount per 1 Bowl,s,
84,Dum Aloo,41.5,291,23.2,21.1,0.5,1.2,2.1,0.03,0.11,2,Amount per 1 Bowl,s,
85,Egg Curry,85,314,23.3,17.6,2.8,1.2,15.5,0.25,0.38,40,Amount per 1 Bowl,s,eg
86,Egg Cutlets,33,280,22.8,16.9,1.3,0.9,9.2,0.21,0.12,26,Amount per 2 Pcs.,b,eg
87,Egg Nog,230,228,22.9,11,0.8,0.2,9.4,0.46,0.12,15,Amount per 1 Glass,b,eg
88,Egg Pakoras,42,380,18,28.4,2.3,0.8,13,0.25,0.19,28,Amount per 5 Pcs.,b,eg
89,Fish Cutlets,658,470,27.2,31.6,1.6,1.5,19.1,0.08,0.12,1,Amount per 2 Pcs.,b,nv
91,Fish Pakoras,538,373,22.2,22.8,2.6,1.3,19.7,0.11,0.19,3,Amount per 5 Pcs.,b,nv
92,Fish Pie,445,445,43.4,16.2,4.1,1.8,31.3,0.15,0.15,36,Amount per 1 Bowl,b,nv
93,Fish Souffle,824,402,18.6,23.5,2.3,1.2,29.1,0.53,0.18,60,Amount per 1 Bowl,b,nv
95,French Omelette,25,160,0,14.8,0.7,0.1,6.7,0.2,0.05,52,Amount per 1 Egg,b,eg
96,French Onion Soup,102,208,21.1,11.6,0.8,0.6,4.8,0.05,0.08,27,Amount per 1 Bowl,j,
97,French Toasted,144,443,34,27.6,1.7,0.6,14.6,0.2,0.15,91,Amount per 2 Pcs.,b,
98,Fresh Fruit Punch,37,218,53,0.3,3.3,0.3,0.8,0.16,0.25,10,Amount per 1 Glass,j,
99,Fried Egg,25,160,0,14.8,0.7,0.1,6.7,0.2,0.05,52,Amount per 1 Egg,b,eg
100,Fried Fish with Chips,307,443,25.4,26.2,3.3,0.9,26.3,0.11,0.09,14,Amount per 1 Bowl,b,eg
101,Fruit Delight,109,205,23.5,11,0.4,0.2,3,0.18,0.07,13,Amount per ½ small mould,d,
102,Fruit Ice Cream,95,323,26.5,23,0.4,0.3,2.6,0.16,0.05,69,Amount per 1 Sunde Glass,d,
103,Gajar Methi,460,180,15,11,2.8,1.3,5.2,0.33,0.08,321,Amount per 1 Bowl,s,
104,Ghia Kofta Curry,70,273,17.5,20.9,1.9,0.9,3.6,0.05,0.17,10,Amount per 1 Bowl,s,
105,Ghia Raita,159,67,4.3,4.1,0.4,0.2,3.2,0.17,0.06,3,Amount per 1 Bowl,si,
106,Grapes Raita,159,91,10,4.2,0.5,0.2,3.4,0.17,0.06,3,Amount per 1 Bowl,si,
107,Green Gram Whole,37,100,17,0.4,1.3,0.6,7.2,0.08,0.14,2,Amount per 1 Bowl,b,
108,Green Pea Soup (Mutter Soup),70,186,23.1,6.4,1.9,1.1,9,0.08,0.28,31,Amount per 1 Bowl,j,
109,Gujia,114,272,33.6,13.2,0.9,0.7,4.8,0.06,0.05,10,Amount per 2 Pcs.,d,
110,Gulabjamuns,279,329,46.6,12.9,0.2,0.3,6.7,0.17,0.23,12,Amount per 2 Pcs.,d,
111,Hot and Sour Soup,65,181,13.2,9.3,2.8,2.3,11.2,0.25,0.22,7,Amount per 1 Bowl,j,
112,Hot Chocolate Souffle,82,247,26.7,12.3,0.9,0.2,7.3,0.24,0.06,31,Amount per 1 Bowl,d,
113,Hot Lemon Souffle,65,217,20.8,11.8,0.9,0.2,6.8,0.21,0.06,31,Amount per 1 Bowl,d,
114,Hot Orange Souffle,73,234,24.8,11.8,1,0.2,7.1,0.21,0.06,66,Amount per 1 Bowl,d,
115,Hot Tea,31,34,5.7,1,0,0.01,0.6,0.01,0.01,0,Amount per 1 Tea Cup,j,
